AFG,Afghanistan,65.6,63.2,60.9,58.7,56.7,54.9,53.2,51.5
ALB,Albania,10.7,10.1,9.5,9,8.6,8.3,8.1,7.8
DZA,Algeria,23.5,22.9,22.4,22.1,21.8,21.4,21,20.6
AND,Andorra,3.8,3.7,3.7,3.6,3.5,3.4,3.3,3.2
AGO,Angola,76.4,71.9,67.8,64.1,60.9,58.2,55.8,53.8
ATG,Antigua and Barbuda,7.8,7.4,7,6.6,6.2,5.9,5.6,5.4
ARG,Argentina,13,12.5,11.9,11.3,10.7,10.2,9.7,9.2
ARM,Armenia,16.1,15.3,14.5,13.8,13.1,12.5,11.9,11.3
AUS,Australia,4,3.8,3.6,3.5,3.3,3.2,3.1,3
AUT,Austria,3.6,3.5,3.3,3.2,3.1,3,3,2.9
AZE,Azerbaijan,32.6,30.6,28.6,26.8,25.1,23.4,21.9,20.5
BHS,Bahamas,9.4,8.7,8.1,7.5,6.9,6.4,6.1,5.8
BHR,Bahrain,7.3,7,6.8,6.7,6.6,6.5,6.4,6.3
BGD,Bangladesh,38.9,36.9,35,33.2,31.5,29.8,28.3,26.9
BRB,Barbados,13.4,13.1,12.9,12.7,12.4,12.1,11.9,11.5
BLR,Belarus,4.2,3.9,3.6,3.4,3.2,3.1,2.9,2.8
BEL,Belgium,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3.1
BLZ,Belize,16.3,15.8,15.3,14.7,14.1,13.4,12.8,12.2
BEN,Benin,72.1,71.3,70.4,69.3,68,66.6,65.1,63.5
BTN,Bhutan,34.2,32.5,31.1,29.8,28.6,27.6,26.5,25.6
BOL,Bolivia (Plurinational State of),36.1,34.7,33.4,32.2,31.1,30,29,28
BIH,Bosnia and Herzegovina,6.2,5.9,5.7,5.5,5.4,5.2,5.1,4.9
BWA,Botswana,38.5,38.9,36.8,34.8,34.4,33.1,32.3,30.8
BRA,Brazil,16.7,16,15.4,14.9,14.5,14,14.6,13.2
BRN,Brunei Darussalam,8.9,8.9,8.9,8.9,9,9,9,9
BGR,Bulgaria,9,8.7,8.3,7.8,7.4,7,6.7,6.3
BFA,Burkina Faso,66,63.2,60.6,58.2,56.1,54.3,52.6,51.2
BDI,Burundi,59.2,56.1,53.1,50.5,48,45.9,44.1,42.5
CIV,Cote d'Ivoire,76.8,75.1,73.1,71.2,69.5,67.8,66,64.2
CPV,Cabo Verde,21.2,20.6,19.8,18.9,17.9,16.9,15.9,15
KHM,Cambodia,37.8,35.1,32.6,30.6,28.9,27.5,26.3,25.1
CMR,Cameroon,69.1,66.8,64.4,62.1,60.3,58.2,56.6,55.1
CAN,Canada,4.9,4.8,4.8,4.8,4.7,4.7,4.6,4.5
CAF,Central African Republic,101.9,99.9,98,96.3,93.9,91.6,89.2,87.6
TCD,Chad,85.2,83.4,81.7,80.1,78.4,76.7,75,73.4
CHL,Chile,7.5,7.2,7.2,7.1,6.9,6.7,6.6,6.3
CHN,China,13.6,12.6,11.6,10.8,10,9.2,8.6,8
COL,Colombia,15.9,15.4,14.9,14.4,14,13.5,13.1,12.7
COM,Comoros,62.6,60.9,59.5,57.9,56.4,54.9,53.6,52.2
COG,Congo,43.6,42,40.5,39.2,38,36.9,35.8,34.7
COK,Cook Islands,8.5,8.2,7.8,7.5,7.2,7,6.7,6.5
CRI,Costa Rica,8.7,8.6,8.5,8.4,8.3,8.2,8,7.8
HRV,Croatia,4.7,4.5,4.5,4.3,4.2,4.1,4,3.9
CUB,Cuba,4.6,4.5,4.5,4.4,4.3,4.3,4.2,4.1
CYP,Cyprus,3,2.8,2.7,2.5,2.4,2.3,2.2,2.1
CZE,Czechia,2.7,2.6,2.5,2.5,2.5,2.5,2.6,2.6
PRK,Democratic People's Republic of Korea,23.1,21.5,19.8,18.3,17,16,15.1,14.4
COD,Democratic Republic of the Congo,84.8,82.5,80.4,78.3,76.1,74.1,72.1,70
DNK,Denmark,3.5,3.5,3.5,3.5,3.6,3.6,3.7,3.7
DJI,Djibouti,62.6,60.9,59.3,57.7,56.1,54.5,53,51.5
DMA,Dominica,18.9,20.5,22.4,24.4,26.6,28.8,30.4,31.5
DOM,Dominican Republic,28.3,28,27.7,27.2,26.8,26.2,25.6,25
ECU,Ecuador,15.7,15,14.4,13.8,13.4,13,12.7,12.5
EGY,Egypt,24.3,23.3,22.4,21.6,20.9,20.1,19.4,18.8
SLV,El Salvador,16.6,15.8,15.1,14.5,13.9,13.4,12.9,12.5
GNQ,Equatorial Guinea,80.5,78.2,76,73.8,71.5,69.4,67.4,65.3
ERI,Eritrea,39.2,38,36.8,35.8,34.7,33.9,32.9,32.1
